"","Farmer_ID","Districts","Paddy_transplanting_date","Paddy_harvesting_date","Drought_faced","Status","days_between"
"262",3879162663953,"Vaishali",2022-07-20,2022-11-17,1,1,120
"263",3887033337081,"Vaishali",2022-07-14,2022-11-27,1,1,136
"264",3907739436475,"Samastipur",2022-07-15,2022-12-03,1,1,141
"265",3927277976260,"Gaya",2022-07-23,2022-12-14,1,1,144
"266",3938709053842,"Gaya",2022-07-29,2022-11-23,1,1,117
"267",3958051200471,"Gaya",2022-08-01,2022-11-11,1,1,102
"268",3969693914453,"Gaya",2022-08-03,2022-12-14,1,1,133
"269",3988298403855,"Samastipur",2022-07-29,2022-11-19,1,1,113
"270",3997562892756,"Samastipur",2022-07-06,2022-10-18,1,1,104
"271",4006201099824,"Samastipur",2022-07-26,2022-10-15,1,1,81
"272",4057870239256,"Gaya",2022-07-25,2022-10-27,1,1,94
"273",4066299406559,"Gaya",2022-08-13,2022-12-06,1,1,115
"274",4079507781560,"Gaya",2022-08-07,2022-12-05,1,1,120
"275",4088757433322,"Vaishali",2022-07-15,2022-10-20,1,1,97
"276",4097485038909,"Vaishali",2022-07-14,2022-10-31,1,1,109
"277",4109631965684,"Vaishali",2022-07-15,2022-11-06,1,1,114
"278",4119931665281,"Vaishali",2022-07-10,2022-10-17,1,1,99
"279",4129546803596,"Vaishali",2022-07-11,2022-10-31,1,1,112
"280",4157667362397,"Arah",2022-07-14,2022-12-06,0,1,145
"281",4167759978537,"Arah",2022-07-17,2022-11-28,0,1,134
"282",4178804353346,"Arah",2022-07-24,2022-12-23,0,1,152
"283",4198709919657,"Arah",2022-07-17,2023-01-03,0,1,170
"284",4209708046902,"Arah",2022-07-14,2022-11-26,0,1,135
"285",4218434629070,"Arah",2022-07-18,2022-11-24,0,1,129
"286",4228969308668,"Madhepura",2022-07-26,2022-10-26,1,1,92
"287",4278051742782,"Madhepura",2022-07-15,2022-11-06,1,1,114
"288",4287546827327,"Madhepura",2022-07-16,2022-11-28,1,1,135
"289",4309973694955,"Madhepura",2022-07-15,2022-10-29,1,1,106
"290",4349934257226,"Samastipur",2022-07-13,2022-10-21,1,1,100
"291",4359431208556,"Samastipur",2022-07-20,2022-11-14,1,1,117
"292",4389939962867,"Samastipur",2022-07-13,2022-11-03,1,1,113
"293",4397852052407,"Samastipur",2022-07-16,2022-12-25,1,1,162
"294",4408084379292,"Samastipur",2022-07-08,2022-11-08,1,1,123
"295",4439934885367,"Samastipur",2022-07-22,2022-10-15,1,1,85
